#{"t_start": 1764136921.485908, "env_id": "CityDrone-v0"}
r,l,t
-53.835346,9,59.571653
-70.08138,68,59.644453
-50.8,2,59.647082
-52.2,4,59.651695
-51.342641,7,59.65951
-50.1,1,59.660934
-56.391396,20,59.682326
-58.577354,8,59.690738
-97.940048,78,59.772342
-51.8,5,59.777763
-50.1,1,59.779181
-51.8,2,59.781594
-50.8,2,59.783993
-52.2,4,59.788357
-52.2,4,59.79277
-50.1,1,59.794166
-53.2,4,59.798599
-56.993596,31,59.831545
-55.9,8,59.839902
-50.8,2,59.842277
-51.5,3,59.845629
-53.6,6,59.851939
-54.046951,11,59.86386
-50.1,1,59.865253
-50.8,2,59.867743
-60.833462,16,59.884216
-52.898246,30,59.915116
-52.5,6,59.921508
-63.662952,32,59.954248
-54.050124,4,59.958629
-65.602828,22,59.982357
-52.2,4,59.986786
-54.9,8,59.995326
-55.256913,19,60.01606
-52.164294,6,60.022441
-52.8,8,60.030939
-50.8,2,60.033338
-50.1,1,60.03475
-52.344004,11,60.04612
-51.5,3,60.049705
-59.7,18,60.882869
-52.5,3,60.886337
-51.5,3,60.889803
-53.9,8,60.898214
-69.595983,49,60.948968
-58.9,23,60.983749
-50.1,1,60.985676
-50.840027,9,60.996421
-52.5,6,61.00287
-66.769521,45,61.05087
-50.8,2,61.053681
-51.5,3,61.057272
-48.862019,5,61.063159
-54.343621,10,61.074982
-50.1,1,61.076672
-51.5,3,61.080239
-50.304778,4,61.084728
-62.790958,40,61.130044
-53.344272,12,61.142481
-51.5,3,61.146322
-52.9,5,61.152392
-52.5,3,61.156691
-51.539841,3,61.160981
-78.085673,86,61.270569
-51.5,3,61.273988
-68.686948,6,61.280416
-54.156726,9,61.289795
-58.3,13,61.303454
-51.562258,3,61.307593
-60.5,19,61.326877
-50.1,1,61.32828
-54.517237,8,61.336725
-50.1,1,61.33813
-53.06442,16,61.354585
-50.1,1,61.355982
-51.319544,4,61.360362
-52.1,4,61.364755
-51.54131,3,61.368146
-49.671683,3,61.371525
-52.982841,19,61.390954
-50.8,2,61.393349
-53.9,5,61.398931
-50.1,1,61.400327
-50.8,2,61.402741
-49.260818,4,61.407184
-52.241657,26,61.434382
-65.221884,39,61.474595
-50.8,2,61.47705
-51.5,3,61.480436
-51.138552,7,61.487952
-50.1,1,61.489412
-50.8,2,61.491911
-50.1,1,61.493415
-56.096152,14,61.508363
-57.889382,33,62.507128
-107.192061,105,62.616098
-60.94548,45,62.662331
-49.802258,5,62.667776
-50.1,1,62.669576
-55.5,15,62.685048
-49.4,3,62.688457
-51.5,3,62.691896
-77.902236,106,62.802525
-50.83117,4,62.80697
-52.390889,6,62.813388
-50.527864,7,62.820779
-51.8,2,62.823201
-52.292022,10,62.834295
-53.813521,9,62.844101
